,model_id,model_scale_factor
0,720719,2.1666364904690374
1,863879,1.0304619527184813
2,863881,1.4595499922639938
3,863883,2.2993338905815532
4,863896,46.4811377600127
5,863935,5.225592052420112
6,863953,4.327171888288721
7,864028,1.6120193407034582
8,864029,1.7754167194144217
9,864036,1.0516144471597997
10,864045,1.0763408581074545
11,864145,0.24276847967090434
12,864214,3.5120015352182388
13,864222,3.5205067410969546
14,864228,18.03951593974772
15,864356,1.2709310844887147
16,864359,2.3816577303092883
17,864362,4.173796845180219
18,864417,2.627561469657647
19,864451,4.002928029956834
20,864468,3.965714569441779
21,864471,2.087096288445737
22,960432,0.06010533313399603
23,960434,0.25168116619032765
24,960467,0.4758099178488621
25,960536,0.07153340753541833
26,960538,4.620921809837345
27,960539,2.6068993527325555
28,960540,0.2309765206428157
29,960541,0.2052489969840984
30,960542,2.5506793067725386
31,960545,51.90323359363572
32,960568,4.247212700707384
33,960569,3.2362527927400535
34,960573,3.4702553522164323
35,960582,1.5295453496760618
36,961567,1.970396199670122
37,961568,2.958540371410153
38,962780,3.090240722285109
39,962789,1.8837854245566767
40,962860,5.063803664805472
41,962879,9.425990521138058
42,962976,0.2635983263598326
43,962984,0.46290839490786073
44,962992,0.08786610878661087
45,963033,0.644341612510757
46,963034,0.1374922104513487
47,963042,0.11552568325469598
48,963077,0.4393305439330544
49,963085,0.5024128905902252
50,963469,0.3618348300091171
51,963471,0.05918925339138008
52,963474,0.1790333941552601
53,963515,0.4988464947581634
54,964340,2.3215459877832556
55,964353,1.2958327442650857
56,964358,3.058145473755957
57,964403,2.1731100052162624
58,964405,2.3226446412941573
59,964413,3.0972388753170668
60,964432,0.18220404050845357
61,964446,0.14340051244420673
62,964447,0.6291708664044505
63,964448,0.8798628036220665
64,964456,0.8973959304351673
65,964472,0.6593550933902707
66,964852,0.2864930594923983
67,964853,0.24351604730078422
68,965304,0.563095169605173
69,965306,1.8138203564940276
70,965308,0.7442354291322733
71,965309,3.189575190237302
72,965312,1.5848536416784365
73,965493,2.2531770870694823
74,965614,4.3209452241071675
75,965665,0.1605458486934947
76,965669,4.691009620543337
77,965673,0.638688863563065
78,965677,0.2768404765900903
79,966118,6.274416649233053
